PARAMCD,ATOXDSCL,ATOXDSCH,UNIT_PREF,COMMENT
ALT,,Alanine aminotransferase increased,U/L,Common LBTESTCD
AST,,Aspartate aminotransferase increased,U/L,
ALP,,Alkaline phosphatase increased,U/L,
ALKPHOS,,Alkaline phosphatase increased,U/L,
BILI,,Blood bilirubin increased,,
TBILI,,Blood bilirubin increased,,
BILTOT,,Blood bilirubin increased,,
GGT,,GGT increased,U/L,
CREAT,,Creatinine increased,,
CREATIN,,Creatinine increased,,
CK,,CPK increased,U/L,
CPK,,CPK increased,U/L,
APTT,,Activated partial thromboplastin time prolonged,sec,
PTT,,Activated partial thromboplastin time prolonged,sec,
LIPASE,,Lipase increased,U/L,
AMYLASE,,Amylase increased,U/L,
HGB,Anemia,Hemoglobin increased,g/L,Both directions when mapped
HB,Anemia,Hemoglobin increased,g/L,
WBC,White blood cell decreased,,10^9/L,
NEUT,Neutrophil count decreased,,10^9/L,
NEUTRO,Neutrophil count decreased,,10^9/L,
ANC,Neutrophil count decreased,,10^9/L,
PLAT,Platelet count decreased,,10^9/L,
PLT,Platelet count decreased,,10^9/L,
LYM,Lymphocyte count decreased,Lymphocyte count increased,10^9/L,
LYMPH,Lymphocyte count decreased,Lymphocyte count increased,10^9/L,
K,Hypokalemia,Hyperkalemia,MMOL/L,
POT,Hypokalemia,Hyperkalemia,MMOL/L,
SODIUM,Hyponatremia,Hypernatremia,MMOL/L,
NA,Hyponatremia,Hypernatremia,MMOL/L,
CA,Hypocalcemia,Hypercalcemia,MMOL/L,
GLUC,Hypoglycemia,Hyperglycemia,MMOL/L,
GLUCSE,Hypoglycemia,Hyperglycemia,MMOL/L,
INR,,INR increased,,
FIBRINO,Fibrinogen decreased,,g/L,
LDH,,Blood lactate dehydrogenase increased,U/L,
