code_id,name,type,code,decode
CL.AECAUS,AECAUS,code_decode,NONE,NONE
CL.AECAUS,AECAUS,code_decode,POSSIBLE,POSSIBLE
CL.AECAUS,AECAUS,code_decode,PROBABLE,PROBABLE
CL.AECAUS,AECAUS,code_decode,REMOTE,REMOTE
CL.AGEU,AGEU,code_decode,YEARS,YEARS
CL.ARM,ARM,code_decode,Screen Failure,Screen Failure
CL.ARM,ARM,code_decode,Placebo,Placebo
CL.ARM,ARM,code_decode,Xanomeline Low Dose,Xanomeline Low Dose
CL.ARM,ARM,code_decode,Xanomeline High Dose,Xanomeline High Dose
CL.ARMCD,ARMCD,code_decode,Scrnfail,Screen Failure
CL.ARMCD,ARMCD,code_decode,Pbo,Placebo
CL.ARMCD,ARMCD,code_decode,Xan_Lo,Xanomeline Low Dose
CL.ARMCD,ARMCD,code_decode,Xan_Hi,Xanomeline High Dose
CL.COUNTRY,COUNTRY,code_decode,USA,USA
CL.EPOCH,EPOCH,code_decode,SCREENING,Screening
CL.EPOCH,EPOCH,code_decode,TREATMENT,Treatment
CL.EPOCH,EPOCH,code_decode,FOLLOW-UP,Follow-Up
CL.ETHNIC,ETHNIC,code_decode,NOT HISPANIC OR LATINO,NOT HISPANIC OR LATINO
CL.ETHNIC,ETHNIC,code_decode,HISPANIC OR LATINO,HISPANIC OR LATINO
CL.EXDOSEU,EXDOSEU,code_decode,mg,mg
CL.EXDOSFRM,EXDOSFRM,code_decode,PATCH,PATCH
CL.EXFREQ,EXFREQ,code_decode,QD,QD
CL.EXROUTE,EXROUTE,code_decode,TRANSDERMAL,TRANSDERMAL
CL.EXTRT,EXTRT,code_decode,PLACEBO,PLACEBO
CL.EXTRT,EXTRT,code_decode,XANOMELINE,XANOMELINE
CL.OUT,OUT,code_decode,RECOVERED/RESOLVED,RECOVERED/RESOLVED
CL.OUT,OUT,code_decode,NOT RECOVERED/NOT RESOLVED,NOT RECOVERED/NOT RESOLVED
CL.OUT,OUT,code_decode,FATAL,FATAL
CL.QEVAL,QEVAL,code_decode,CLINICAL STUDY SPONSOR,CLINICAL STUDY SPONSOR
CL.RACE,RACE,code_decode,WHITE,WHITE
CL.RACE,RACE,code_decode,BLACK OR AFRICAN AMERICAN,BLACK OR AFRICAN AMERICAN
CL.RACE,RACE,code_decode,AMERICAN INDIAN OR ALASKA NATIVE,AMERICAN INDIAN OR ALASKA NATIVE
CL.RACE,RACE,code_decode,ASIAN,ASIAN
CL.SEV,SEV,code_decode,MILD,MILD
CL.SEV,SEV,code_decode,MODERATE,MODERATE
CL.SEV,SEV,code_decode,SEVERE,SEVERE
CL.SEX,SEX,code_decode,F,Female
CL.SEX,SEX,code_decode,M,Male
CL.SEX,SEX,code_decode,U,Unknown
CL.SUPPAE.QNAM,SUPPAE.QNAM,code_decode,AETRTEM,TREAMENT EMERGENT FLAG
CL.SUPPDM.QNAM,SUPPDM.QNAM,code_decode,COMPLT16,Completers of Week 16 Population Flag
CL.SUPPDM.QNAM,SUPPDM.QNAM,code_decode,COMPLT24,Completers of Week 24 Population Flag
CL.SUPPDM.QNAM,SUPPDM.QNAM,code_decode,COMPLT8,Completers of Week 8 Population Flag
