dataset,variable,key_seq,order,keep,core,supp_flag
DM,STUDYID,1,1,TRUE,NA,NA
DM,DOMAIN,NA,2,TRUE,NA,NA
DM,USUBJID,2,3,TRUE,NA,NA
DM,SUBJID,NA,4,TRUE,NA,NA
DM,RFSTDTC,NA,5,FALSE,NA,NA
DM,RFENDTC,NA,6,FALSE,NA,NA
DM,RFXSTDTC,NA,7,FALSE,NA,NA
DM,RFXENDTC,NA,8,FALSE,NA,NA
DM,RFICDTC,NA,9,FALSE,NA,NA
DM,RFPENDTC,NA,10,FALSE,NA,NA
DM,DTHDTC,NA,11,FALSE,NA,NA
DM,DTHFL,NA,12,FALSE,NA,NA
DM,SITEID,NA,13,TRUE,NA,NA
DM,AGE,NA,14,FALSE,NA,NA
DM,AGEU,NA,15,FALSE,NA,NA
DM,SEX,NA,16,TRUE,NA,NA
DM,RACE,NA,17,FALSE,NA,NA
DM,ETHNIC,NA,18,FALSE,NA,NA
DM,ARMCD,NA,19,TRUE,NA,NA
DM,ARM,NA,20,TRUE,NA,NA
DM,ACTARMCD,NA,21,TRUE,NA,NA
DM,ACTARM,NA,22,TRUE,NA,NA
DM,COUNTRY,NA,23,TRUE,NA,NA
DM,DMDTC,NA,24,FALSE,NA,NA
DM,DMDY,NA,25,FALSE,NA,NA
EX,STUDYID,1,1,TRUE,NA,NA
EX,DOMAIN,NA,2,TRUE,NA,NA
EX,USUBJID,2,3,TRUE,NA,NA
EX,EXSEQ,NA,4,TRUE,NA,NA
EX,EXTRT,3,5,TRUE,NA,NA
EX,EXDOSE,NA,6,FALSE,NA,NA
EX,EXDOSU,NA,7,FALSE,NA,NA
EX,EXDOSFRM,NA,8,FALSE,NA,NA
EX,EXDOSFRQ,NA,9,FALSE,NA,NA
EX,EXROUTE,NA,10,FALSE,NA,NA
EX,VISITNUM,NA,11,FALSE,NA,NA
EX,VISIT,NA,12,FALSE,NA,NA
EX,VISITDY,NA,13,FALSE,NA,NA
EX,EPOCH,NA,14,FALSE,NA,NA
EX,EXSTDTC,4,15,FALSE,NA,NA
EX,EXENDTC,NA,16,FALSE,NA,NA
EX,EXSTDY,NA,17,FALSE,NA,NA
EX,EXENDY,NA,18,FALSE,NA,NA
AE,STUDYID,1,1,TRUE,NA,NA
AE,DOMAIN,NA,2,TRUE,NA,NA
AE,USUBJID,2,3,TRUE,NA,NA
AE,AESEQ,5,4,TRUE,NA,NA
AE,AESPID,NA,5,FALSE,NA,NA
AE,AETERM,3,6,TRUE,NA,NA
AE,AELLT,NA,7,FALSE,NA,NA
AE,AELLTCD,NA,8,FALSE,NA,NA
AE,AEDECOD,NA,9,FALSE,NA,NA
AE,AEPTCD,NA,10,FALSE,NA,NA
AE,AEHLT,NA,11,FALSE,NA,NA
AE,AEHLTCD,NA,12,FALSE,NA,NA
AE,AEHLGT,NA,13,FALSE,NA,NA
AE,AEHLGTCD,NA,14,FALSE,NA,NA
AE,AEBODSYS,NA,15,FALSE,NA,NA
AE,AEBDSYCD,NA,16,FALSE,NA,NA
AE,AESOC,NA,17,FALSE,NA,NA
AE,AESOCCD,NA,18,FALSE,NA,NA
AE,AESEV,NA,19,FALSE,NA,NA
AE,AESER,NA,20,FALSE,NA,NA
AE,AEACN,NA,21,FALSE,NA,NA
AE,AEREL,NA,22,FALSE,NA,NA
