dataset,variable,type,sig_dig,origin,code_id,where,derivation_id
SUPPAE,STUDYID,text,NA,CRF,NA,NA,NA
SUPPAE,RDOMAIN,text,NA,Assigned,NA,NA,NA
SUPPAE,USUBJID,text,NA,Derived,NA,NA,MT.SUPPAE.USUBJID
SUPPAE,IDVAR,text,NA,Assigned,NA,NA,NA
SUPPAE,IDVARVAL,text,NA,Derived,NA,NA,MT.SUPPAE.IDVARVAL
SUPPAE,QNAM,text,NA,Assigned,CL.SUPPAE.QNAM,NA,NA
SUPPAE,QLABEL,text,NA,Assigned,NA,NA,NA
SUPPAE,QORIG,text,NA,Assigned,NA,NA,NA
SUPPAE,QEVAL,text,NA,Assigned,CL.QEVAL,NA,NA
SUPPDM,STUDYID,text,NA,CRF,NA,NA,NA
SUPPDM,RDOMAIN,text,NA,Assigned,NA,NA,NA
SUPPDM,USUBJID,text,NA,Derived,NA,NA,MT.SUPPDM.USUBJID
SUPPDM,IDVAR,text,NA,Assigned,NA,NA,NA
SUPPDM,IDVARVAL,text,NA,Assigned,NA,NA,NA
SUPPDM,QNAM,text,NA,Assigned,CL.SUPPDM.QNAM,NA,NA
SUPPDM,QLABEL,text,NA,Assigned,NA,NA,NA
SUPPDM,QORIG,text,NA,Assigned,NA,NA,NA
SUPPDM,QEVAL,text,NA,Assigned,CL.QEVAL,NA,NA
SUPPAE,QVAL,text,NA,Derived,CL.YN,QNAM = 'TRTEMFL',MT.SUPPAE.QNAM.TRTEMFL
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'COMPLT16',MT.SUPPDM.QNAM.COMPLT16
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'COMPLT24',MT.SUPPDM.QNAM.COMPLT24
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'COMPLT8',MT.SUPPDM.QNAM.COMPLT8
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'EFFICACY',MT.SUPPDM.QNAM.EFFICACY
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'SAFETY',MT.SUPPDM.QNAM.SAFETY
SUPPDM,QVAL,text,NA,Derived,CL.Y_BLANK,QNAM = 'ITT',MT.SUPPDM.QNAM.ITT
AE,AETRTEM,NA,NA,DERIVED,NA,NA,NA
DM,COMPLT16,NA,NA,DERIVED,NA,NA,NA
DM,COMPLT24,NA,NA,DERIVED,NA,NA,NA
DM,COMPLT8,NA,NA,DERIVED,NA,NA,NA
DM,EFFICACY,NA,NA,DERIVED,NA,NA,NA
DM,ITT,NA,NA,DERIVED,NA,NA,NA
DM,SAFETY,NA,NA,DERIVED,NA,NA,NA
DS,ENTCRIT,NA,NA,CRF,NA,NA,NA
