dataset,variable,type,sig_dig,origin,code_id,where,derivation_id
DM,STUDYID,text,NA,CRF,NA,NA,NA
DM,DOMAIN,text,NA,Assigned,NA,NA,NA
DM,USUBJID,text,NA,Derived,NA,NA,MT.DM.USUBJID
DM,SUBJID,text,NA,CRF,NA,NA,NA
DM,RFSTDTC,date,NA,Derived,NA,NA,MT.DM.RFSTDTC
DM,RFENDTC,date,NA,Derived,NA,NA,MT.DM.RFENDTC
DM,RFXSTDTC,datetime,NA,Derived,NA,NA,MT.DM.RFXSTDTC
DM,RFXENDTC,datetime,NA,Derived,NA,NA,MT.DM.RFXENDTC
DM,RFICDTC,datetime,NA,Derived,NA,NA,MT.DM.RFICDTC
DM,RFPENDTC,datetime,NA,Derived,NA,NA,MT.DM.RFPENDTC
DM,DTHDTC,datetime,NA,Derived,NA,NA,MT.DM.DTHDTC
DM,DTHFL,text,NA,Derived,CL.Y_BLANK,NA,MT.DM.DTHFL
DM,SITEID,text,NA,Assigned,NA,NA,NA
DM,AGE,integer,NA,Derived,NA,NA,MT.DM.AGE
DM,AGEU,text,NA,Assigned,CL.AGEU,NA,NA
DM,SEX,text,NA,CRF,CL.SEX,NA,NA
DM,RACE,text,NA,CRF,CL.RACE,NA,NA
DM,ETHNIC,text,NA,Derived,CL.ETHNIC,NA,MT.DM.ETHNIC
DM,ARMCD,text,NA,Assigned,CL.ARMCD,NA,NA
DM,ARM,text,NA,Assigned,CL.ARM,NA,NA
DM,ACTARMCD,text,NA,Derived,CL.ARMCD,NA,MT.DM.ACTARMCD
DM,ACTARM,text,NA,Derived,CL.ARM,NA,MT.DM.ACTARM
DM,COUNTRY,text,NA,Derived,CL.COUNTRY,NA,MT.DM.COUNTRY
DM,DMDTC,date,NA,CRF,NA,NA,NA
DM,DMDY,integer,NA,Derived,NA,NA,MT.COMPMETHOD.STUDY_DAY
EX,STUDYID,text,NA,CRF,NA,NA,NA
EX,DOMAIN,text,NA,Assigned,NA,NA,NA
EX,USUBJID,text,NA,Derived,NA,NA,MT.EX.USUBJID
EX,EXSEQ,integer,NA,Derived,NA,NA,MT.EX.EXSEQ
EX,EXTRT,text,NA,eDT,CL.EXTRT,NA,NA
EX,EXDOSE,integer,NA,eDT,NA,NA,NA
