dataset,variable,origin,builder_macro,sas_port,admiral_template,admiral_function,key_params,by_vars,derivation_summary,prespec_analogue
ADSL,TRT01P,Assigned,m_adsl_pva,(data step),ad_adsl.R,mutate,TRT01P=ARM,,Planned treatment from DM.ARM.,ad_adsl.R mutate TRT01P
ADSL,TRT01A,Assigned,m_adsl_pva,(data step),ad_adsl.R,mutate,TRT01A=ACTARM,,Actual treatment from DM.ACTARM.,ad_adsl.R mutate TRT01A
ADSL,TRTSDTM,Derived,m_adsl_pva,m_derive_vars_dtm,ad_adsl.R,derive_vars_dtm,prefix=EXST dtc=EXSTDTC hi=n time=first,STUDYID USUBJID,First exposure start datetime from EX then merge mode=first.,derive_vars_dtm + derive_vars_merged first
ADSL,TRTSTMF,Derived,m_adsl_pva,m_derive_vars_dtm,ad_adsl.R,derive_vars_dtm,flag_imputation=auto time=first,STUDYID USUBJID,Time imputation flag from EX start. Date-only EX sets H.,derive_vars_dtm TRTSTMF
ADSL,TRTEDTM,Derived,m_adsl_pva,m_derive_vars_dtm,ad_adsl.R,derive_vars_dtm,prefix=EXEN dtc=EXENDTC hi=n time=last,STUDYID USUBJID,Last exposure end datetime from EX then merge mode=last.,derive_vars_dtm + derive_vars_merged last
ADSL,TRTETMF,Derived,m_adsl_pva,m_derive_vars_dtm,ad_adsl.R,derive_vars_dtm,flag_imputation=auto time=last,STUDYID USUBJID,Time imputation flag from EX end. Date-only EX sets H.,derive_vars_dtm TRTETMF
ADSL,TRTSDT,Derived,m_adsl_pva,m_derive_vars_dtm_to_dt,ad_adsl.R,derive_vars_dtm_to_dt,source=TRTSDTM,,Date part of TRTSDTM.,derive_vars_dtm_to_dt
ADSL,TRTEDT,Derived,m_adsl_pva,m_derive_vars_dtm_to_dt,ad_adsl.R,derive_vars_dtm_to_dt,source=TRTEDTM,,Date part of TRTEDTM.,derive_vars_dtm_to_dt
ADSL,TRTDURD,Derived,m_adsl_pva,m_derive_vars_duration,ad_adsl.R,derive_vars_duration,start=TRTSDT end=TRTEDT add_one=Y,,Treatment duration in days plus one.,derive_vars_duration
ADSL,DTHDT,Derived,m_adsl_pva,m_derive_vars_dt,ad_adsl.R,derive_vars_dt,prefix=DTH dtc=DTHDTC hi=M date=first,,Death date from DM.DTHDTC with month imputation first.,derive_vars_dt
ADSL,DTHADY,Derived,m_adsl_pva,m_derive_vars_duration,ad_adsl.R,derive_vars_duration,start=TRTSDT end=DTHDT add_one=Y,,Relative day of death vs TRTSDT.,derive_vars_duration
